,,,,,,
,ZIP Code,City,County,Land Area (Sq. Meters),Land Area (Sq. Miles),Land Area (Sq. Kilometers)
,98001,"Algona, Auburn, Federal Way, Lakeland North, Lakeland South, Milton, Pacific",King County,"48,144,700",19,48
,98002,"Auburn, Pacific",King County,"18,530,000",7,19
,98003,"Federal Way, Lakeland South, Milton",King County,"30,089,500",12,30
,98004,"Beaux Arts Village, Bellevue, Clyde Hill, Hunts Point, Yarrow Point",King County,"18,200,300",7,18
,98005,Bellevue,King County,"19,429,600",8,19
,98006,"Bellevue, Eastgate, Newcastle",King County,"27,685,300",11,28
,98007,"Bellevue, Redmond",King County,"11,341,200",4,11
,98008,"Bellevue, Eastgate, Redmond",King County,"14,250,600",6,14
,98010,"Black Diamond, Lake Morton-Berrydale",King County,"38,991,700",15,39
,98011,"Bothell, Inglewood-Finn Hill, Kenmore, Kingsgate, Woodinville",King County,"21,201,100",8,21
,98012,"Bothell, Bothell East, Bothell West, Clearview, Martha Lake, Mill Creek, Mill Creek East, Silver Firs",Snohomish County,"39,681,400",15,40
,98014,"Ames Lake, Carnation, Lake Marcel-Stillwater",King County,"117,347,000",45,117
,98019,"Cottage Lake, Duvall, Union Hill-Novelty Hill",King County,"197,688,000",76,198
,98020,"Edmonds, Esperance, Woodway",Snohomish County,"13,396,300",5,13
,98021,"Bothell, Bothell East, Bothell West, Maltby",Snohomish County,"26,276,100",10,26
,98022,"Black Diamond, Enumclaw, Greenwater","King County, Pierce County","1,051,340,000",406,"1,051"
,98023,"Des Moines, Federal Way",King County,"26,727,700",10,27
,98024,"Fall City, Sammamish, Snoqualmie",King County,"61,945,400",24,62
,98026,"Edmonds, Esperance, Lynnwood, Meadowdale, Mukilteo, North Lynnwood, Picnic Point",Snohomish County,"24,153,200",9,24
,98027,"Bellevue, East Renton Highlands, Eastgate, Hobart, Issaquah, Mirrormont",King County,"144,495,000",56,144
,98028,"Bothell, Inglewood-Finn Hill, Kenmore",King County,"14,667,600",6,15
,98029,"Issaquah, Klahanie",King County,"23,189,900",9,23
,98030,"Auburn, Kent",King County,"18,448,800",7,18
,98031,"East Hill-Meridian, Kent, Renton",King County,"19,424,900",7,19
,98032,"Kent, Lakeland North, Renton, SeaTac, Tukwila",King County,"43,315,900",17,43
,98033,"Bellevue, Kirkland",King County,"24,062,600",9,24
,98034,"Inglewood-Finn Hill, Kenmore, Kingsgate, Kirkland, Redmond, Woodinville",King County,"23,633,800",9,24
