,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,sqft_living15,sqft_lot15,city
0,240000.0,4,1.0,1220,8075,1.0,NONE,Fair,7,890,1969,1290,7800,Auburn
1,287000.0,4,2.5,2240,4648,2.0,NONE,Average,7,2240,2005,2221,4557,Auburn
2,465000.0,3,2.5,2714,17936,2.0,NONE,Average,9,2714,2005,2590,18386,Auburn
3,360000.0,4,2.5,2160,9528,2.0,NONE,Average,9,2160,1992,2280,9937,Auburn
4,230000.0,3,2.0,1450,11204,1.0,NONE,Average,7,1450,2003,1520,9518,Auburn
5,252000.0,4,1.5,1550,19800,1.0,NONE,Good,7,1050,1969,1640,22654,Auburn
6,227950.0,3,1.5,1670,8230,1.0,NONE,Very Good,7,1670,1954,2077,4910,Auburn
7,196000.0,3,2.25,2070,11576,2.0,NONE,Average,7,2070,1974,1890,7519,Auburn
8,305000.0,4,2.5,2250,9091,1.0,NONE,Average,7,1340,1982,1540,7802,Auburn
9,243000.0,3,1.75,1450,12125,1.0,NONE,Good,7,1450,1981,1210,12125,Auburn
10,233000.0,3,2.0,1400,9177,1.0,NONE,Average,7,1400,1974,2020,8547,Auburn
11,249900.0,3,1.75,1380,14000,1.0,NONE,Good,5,1380,1939,1490,18503,Auburn
12,205000.0,3,2.0,1410,8384,1.0,NONE,Average,7,1410,1985,1410,9205,Auburn
13,196500.0,3,1.0,1320,9000,1.0,NONE,Average,7,1320,1966,1320,9800,Auburn
14,199950.0,2,2.75,1590,20917,1.5,NONE,Average,5,1590,1920,1310,6000,Auburn
15,289000.0,3,2.0,1850,9550,1.0,NONE,Average,8,1850,1988,2250,9550,Auburn
16,249900.0,3,1.75,2080,12522,1.0,NONE,Very Good,6,2080,1950,1690,11200,Auburn
17,100000.0,2,1.0,770,17334,1.0,NONE,Average,7,770,1978,1480,17334,Auburn
18,320000.0,3,2.5,2280,7417,2.0,NONE,Average,8,2280,1998,2370,6443,Auburn
19,267000.0,3,2.5,2495,4400,2.0,NONE,Average,8,2495,2007,2434,4400,Auburn
20,350000.0,2,1.5,1320,73600,1.0,NONE,Average,7,1320,1993,1320,33600,Auburn
21,355000.0,4,2.5,2770,7000,1.0,NONE,Good,7,1940,1979,2140,7684,Auburn
22,250000.0,4,2.25,1730,8400,1.0,NONE,Average,7,1730,1962,1550,7920,Auburn
23,355000.0,4,3.0,2590,7213,2.0,NONE,Average,8,2590,2001,2550,6800,Auburn
24,299000.0,3,1.0,1510,142803,1.0,NONE,Average,7,1510,1974,1330,46609,Auburn
25,330000.0,4,2.5,3504,6000,2.0,NONE,Average,7,3504,2006,2790,5231,Auburn
26,196440.0,3,2.0,1560,7352,1.0,NONE,Average,6,1560,1992,1120,7950,Auburn
27,429000.0,4,2.5,2650,9301,2.0,NONE,Average,9,2650,2001,2730,8688,Auburn
28,189950.0,4,2.0,1910,4225,1.0,NONE,Good,6,910,1919,1060,4800,Auburn
29,215500.0,2,1.75,1220,15600,1.0,NONE,Average,6,1220,1972,1510,17818,Auburn
30,206000.0,4,2.0,1720,7560,1.0,NONE,Average,7,1720,1959,1750,7988,Auburn
31,210000.0,3,2.0,1440,10111,1.0,NONE,Average,7,1440,1963,1580,10200,Auburn
32,284200.0,3,2.5,1570,9292,1.0,NONE,Average,7,1110,1977,1470,9222,Auburn
33,272000.0,3,2.0,1380,7476,1.0,NONE,Average,7,1380,1989,1600,7227,Auburn
34,185000.0,3,1.0,980,9135,1.0,NONE,Average,7,980,1955,1780,9135,Auburn
35,332000.0,3,2.25,2120,14915,1.0,NONE,Average,9,1720,1979,2320,13100,Auburn
36,238000.0,2,1.0,1088,8453,1.0,NONE,Average,6,1088,1952,1088,8016,Auburn
37,213550.0,3,2.5,1580,8541,2.0,NONE,Average,7,1580,1990,1640,7542,Auburn
38,230000.0,4,2.0,1440,10800,1.0,NONE,Good,7,1440,1967,1190,7380,Auburn
39,262000.0,4,2.5,2020,6236,2.0,NONE,Average,7,2020,2002,1940,5076,Auburn
40,175000.0,2,1.0,1300,44431,1.0,NONE,Very Good,6,1300,1958,1470,14850,Auburn
41,235000.0,4,1.0,1610,24000,1.5,NONE,Average,6,1610,1947,1270,9600,Auburn
42,165000.0,3,1.5,1280,7742,1.0,NONE,Average,7,1280,1973,1566,7696,Auburn
43,276000.0,3,2.5,2495,4400,2.0,NONE,Average,8,2495,2007,2434,4400,Auburn
44,265000.0,3,2.25,1630,10969,2.0,NONE,Average,7,1630,1991,1410,7920,Auburn
45,259000.0,3,2.5,2153,4400,2.0,NONE,Average,8,2153,2007,2434,4400,Auburn
46,225000.0,3,2.5,1740,10050,2.0,NONE,Average,7,1740,1989,1300,10125,Auburn
47,354450.0,4,2.75,2140,9920,2.0,NONE,Average,8,2140,1993,2130,9920,Auburn
48,352000.0,4,2.5,1252,25002,1.0,NONE,Average,8,992,1996,1860,25002,Auburn
49,210500.0,3,1.0,1220,9600,1.0,NONE,Very Good,7,1220,1958,1310,9600,Auburn
50,276000.0,3,1.75,2240,9200,1.0,NONE,Good,7,1440,1968,1740,9600,Auburn
51,299950.0,3,2.5,1870,7942,2.0,NONE,Average,7,1870,1990,1870,7392,Auburn
52,279000.0,2,2.75,1770,10534,1.0,NONE,Average,8,1210,2003,1600,17400,Auburn
53,329500.0,3,2.5,2120,22482,1.0,NONE,Very Good,7,1360,1979,2330,16016,Auburn
54,196000.0,3,1.5,1000,18568,1.0,NONE,Average,6,1000,1989,1610,17420,Auburn
55,515000.0,3,2.5,3430,48993,2.0,NONE,Average,9,3430,2001,2460,36256,Auburn
56,180000.0,3,1.75,1330,16000,1.0,NONE,Average,7,1330,1978,1330,14374,Auburn
57,225000.0,3,2.0,2030,24829,1.0,NONE,Good,7,1220,1979,1980,15204,Auburn
58,115000.0,2,1.0,1000,16524,1.0,NONE,Average,5,1000,1913,1350,10208,Auburn
59,195000.0,3,1.0,1070,22489,1.0,NONE,Average,7,1070,1967,1880,20250,Auburn
60,299950.0,3,2.5,1600,9830,2.0,NONE,Good,8,1600,1993,1890,8910,Auburn
61,299000.0,3,1.75,2100,15480,1.0,NONE,Average,7,2100,1983,1330,15657,Auburn
62,201700.0,3,1.0,1010,9576,1.0,NONE,Good,7,1010,1967,1540,9576,Auburn
63,194820.0,3,1.5,1100,32700,1.0,NONE,Average,7,1100,1967,1616,32700,Auburn
64,286950.0,4,2.5,2080,9846,1.0,NONE,Average,7,1240,1984,1890,7977,Auburn
65,250000.0,5,1.75,2320,7700,1.0,NONE,Very Good,7,1290,1962,1740,7210,Auburn
66,215000.0,4,2.25,1500,5393,2.0,NONE,Average,7,1500,1999,1500,5952,Auburn
67,212500.0,3,1.0,920,14400,1.0,NONE,Good,7,920,1977,1170,9600,Auburn
68,382450.0,3,2.5,2220,20531,2.0,NONE,Average,8,2220,1998,2420,19249,Auburn
69,269950.0,4,1.0,1440,9600,1.0,NONE,Fair,7,1440,1964,1740,43560,Auburn
70,221000.0,3,1.0,1250,7280,1.0,NONE,Average,7,1250,1965,1450,7350,Auburn
71,263400.0,4,2.0,1360,60548,1.0,NONE,Average,6,960,1960,1930,28800,Auburn
72,267500.0,2,1.0,1747,12250,2.5,NONE,Good,6,1747,1948,1620,10300,Auburn
73,224000.0,3,1.5,1560,7300,1.0,NONE,Good,7,1040,1964,1460,7910,Auburn
74,330000.0,5,2.5,3597,4972,2.0,NONE,Average,7,3597,2006,3193,6000,Auburn
75,359000.0,4,2.25,2710,22860,1.0,NONE,Good,7,1850,1962,1700,22860,Auburn
76,214100.0,2,2.5,1150,2064,2.0,NONE,Average,7,1150,2004,1880,2855,Auburn
77,482000.0,4,2.5,2846,85377,1.5,NONE,Average,8,1976,2000,1696,57934,Auburn
78,340000.0,3,1.75,1880,11249,1.0,NONE,Average,7,1330,1985,1870,14547,Auburn
79,465000.0,3,3.0,2290,15600,1.0,NONE,Average,8,1420,1948,1890,14143,Auburn
80,299000.0,4,2.5,2400,6078,2.0,NONE,Average,8,2400,2001,2406,7642,Auburn
81,198000.0,4,1.75,2080,7200,1.0,NONE,Good,7,1050,1966,1500,7350,Auburn
82,169000.0,3,1.0,910,7686,1.0,NONE,Average,7,910,1969,1020,7686,Auburn
83,250000.0,3,2.0,1170,7258,1.0,NONE,Average,7,1170,1984,1410,7750,Auburn
84,260000.0,4,1.5,1540,7300,2.0,NONE,Average,7,1540,1973,1580,7650,Auburn
85,260000.0,3,1.75,2170,10018,1.0,NONE,Good,7,1630,1978,2049,15263,Auburn
86,430000.0,5,2.5,3860,42733,1.0,GOOD,Good,8,2300,1955,2520,19353,Auburn
87,339000.0,4,2.5,2900,6918,2.0,NONE,Average,8,2900,2001,2720,10376,Auburn
88,215000.0,4,2.5,2130,4496,2.0,NONE,Average,7,2130,2004,3220,5400,Auburn
89,230000.0,3,1.0,1140,9639,1.0,NONE,Good,7,1140,1967,1140,9639,Auburn
90,285000.0,4,2.5,2200,9397,2.0,NONE,Average,8,2200,1987,2310,9176,Auburn
91,277500.0,3,2.25,1820,19602,1.0,NONE,Good,7,1820,1964,1520,8773,Auburn
92,260000.0,3,2.0,1630,8018,1.0,NONE,Average,7,1630,2003,1610,8397,Auburn
93,639900.0,4,2.5,3380,75794,2.0,NONE,Average,10,3380,1997,3710,17913,Auburn
94,420000.0,4,2.5,2480,8626,2.0,NONE,Average,10,2480,2001,2990,9033,Auburn
95,275000.0,4,2.75,2060,7350,1.0,NONE,Average,7,1210,1978,1940,7420,Auburn
96,239950.0,3,2.25,1560,8280,2.0,NONE,Good,7,1560,1979,1920,8120,Auburn
97,239950.0,3,1.0,1900,33888,1.5,NONE,Good,5,1900,1942,1430,19200,Auburn
98,286000.0,4,2.5,2060,16000,2.0,NONE,Average,6,2060,1993,1530,8000,Auburn
99,280000.0,2,1.75,1894,52769,1.5,NONE,Good,6,1520,1936,1820,50529,Auburn
100,254000.0,5,2.0,2080,16117,1.0,NONE,Very Good,7,1740,1959,1510,13068,Auburn
101,204900.0,3,2.0,1390,8245,1.0,NONE,Fair,7,1390,1984,1260,8245,Auburn
102,850000.0,4,2.75,5440,239580,1.0,NONE,Fair,9,2720,1969,1970,40392,Auburn
103,265000.0,4,1.5,1580,8468,2.0,NONE,Good,7,1580,1971,1580,8260,Auburn
104,175000.0,3,1.75,1230,13056,1.0,NONE,Good,7,1230,1962,1690,15750,Auburn
105,269500.0,4,2.25,1700,7056,2.0,NONE,Average,7,1700,1999,1650,6025,Auburn
106,286651.0,3,2.5,1830,4997,2.0,NONE,Average,7,1830,2004,2488,4998,Auburn
107,270000.0,3,2.5,1770,8640,1.0,NONE,Average,7,1420,1986,1894,7974,Auburn
108,415000.0,2,1.0,1050,60113,1.0,NONE,Good,7,1050,1943,1380,27442,Auburn
109,241000.0,3,2.0,1770,7000,1.0,NONE,Average,7,1770,1986,1510,10462,Auburn
110,302000.0,4,2.5,1740,7895,2.0,NONE,Average,7,1740,1999,1720,6813,Auburn
111,265000.0,4,1.5,2050,7100,1.0,NONE,Average,7,1050,1963,1950,7350,Auburn
112,449888.0,3,2.25,2520,78408,2.0,NONE,Average,9,2520,1988,1490,29972,Auburn
113,263000.0,3,2.5,1720,6847,2.0,NONE,Average,7,1720,1987,1610,7790,Auburn
114,384000.0,5,2.75,3220,8160,2.0,NONE,Average,9,3220,1999,2876,11521,Auburn
115,190000.0,3,2.25,1590,11745,1.0,NONE,Average,7,1090,1978,1540,12530,Auburn
116,184000.0,3,1.75,1490,10125,1.0,NONE,Good,7,1490,1962,2488,4981,Auburn
117,255000.0,4,2.5,2163,5882,2.0,NONE,Average,7,2163,2006,1760,9600,Auburn
118,220000.0,3,1.5,1600,10548,1.0,NONE,Good,7,1600,1962,2880,13609,Auburn
119,160000.0,3,1.75,1610,7392,1.0,NONE,Good,7,1610,1964,1450,7392,Auburn
120,375000.0,4,2.0,2270,18450,1.0,NONE,Average,7,2270,1961,2150,18450,Auburn
121,225000.0,3,1.75,1580,14400,1.0,NONE,Good,7,1580,1981,1480,9600,Auburn
122,259900.0,4,2.75,1560,8820,1.0,GOOD,Average,7,1060,1979,2140,7800,Auburn
123,260000.0,5,2.25,2320,6375,1.0,NONE,Good,7,1270,1967,1760,7600,Auburn
124,170000.0,2,1.0,1280,21750,1.5,NONE,Very Good,6,1280,1912,1520,21750,Auburn
125,317000.0,4,2.5,2160,8049,2.0,NONE,Average,9,2160,1988,2490,8995,Auburn
126,335000.0,4,2.5,2610,4781,2.0,NONE,Average,8,2610,2009,2583,4796,Auburn
127,359500.0,4,2.75,2140,10316,2.0,NONE,Average,8,2140,1993,1920,11337,Auburn
128,248000.0,3,1.75,1330,9831,1.0,NONE,Average,7,1330,1987,1330,7500,Auburn
129,265000.0,3,1.5,1780,10196,1.0,NONE,Good,7,1270,1967,1320,7875,Auburn
130,215000.0,3,1.75,1210,8075,1.0,NONE,Good,6,1210,1983,1310,8025,Auburn
131,139000.0,3,1.0,1100,17334,1.0,NONE,Average,7,1100,1978,1530,18694,Auburn
132,199129.0,3,1.0,860,33664,1.0,NONE,Good,6,860,1955,1290,18287,Auburn
133,285000.0,4,2.5,2434,4400,2.0,NONE,Average,8,2434,2007,2434,4400,Auburn
134,280000.0,4,2.0,2190,14439,1.0,NONE,Good,7,1180,1977,2160,14439,Auburn
135,240000.0,4,1.75,1880,9600,1.0,NONE,Very Good,7,1020,1946,1560,14400,Auburn
136,214000.0,3,2.5,1600,2231,2.0,NONE,Average,7,1600,2003,1600,2962,Auburn
137,275000.0,3,2.5,2497,4400,2.0,NONE,Average,8,2497,2007,2434,4400,Auburn
138,274000.0,5,1.75,1950,8720,1.0,NONE,Average,7,1050,1962,1660,8030,Auburn
139,204700.0,4,2.0,1670,9987,1.0,NONE,Average,7,1670,1967,1640,7280,Auburn
140,169100.0,3,2.0,1050,18304,1.0,NONE,Good,7,1050,1953,1690,15675,Auburn
141,250000.0,3,2.0,1050,18304,1.0,NONE,Good,7,1050,1953,1690,15675,Auburn
142,370000.0,3,1.75,1620,37913,2.0,NONE,Good,7,1620,1953,2190,21518,Auburn
143,571500.0,4,2.25,2810,25990,2.0,NONE,Average,8,1860,1959,2020,16140,Auburn
144,182500.0,3,2.25,1830,4744,2.0,NONE,Average,7,1830,1997,1670,8001,Auburn
145,551870.0,3,2.5,2507,18400,2.0,NONE,Average,8,2507,2006,1520,14709,Auburn
146,250600.0,4,2.5,1930,8660,1.0,NONE,Average,7,1120,1981,1830,9591,Auburn
147,541500.0,3,1.75,2320,55847,1.0,AVERAGE,Good,8,2320,1960,2400,26112,Auburn
148,303000.0,4,2.25,2560,8927,1.0,NONE,Average,7,1790,1976,1920,9669,Auburn
149,200000.0,2,1.0,1730,9610,1.0,NONE,Average,7,1380,1962,1310,9812,Auburn
150,219000.0,3,1.5,1200,12000,1.0,NONE,Average,7,1200,1986,1200,9405,Auburn
151,225000.0,3,1.0,1120,10665,1.0,NONE,Good,6,1120,1961,1240,10639,Auburn
152,360000.0,4,2.5,2390,7056,2.0,NONE,Average,9,2390,1990,2590,7801,Auburn
153,124500.0,2,1.0,840,6480,1.0,NONE,Good,5,840,1954,1100,7300,Auburn
154,292500.0,4,2.5,1610,4568,2.0,NONE,Average,7,1610,2006,1834,4604,Auburn
155,270000.0,4,1.75,1850,7350,1.0,NONE,Average,7,1050,1965,1450,7250,Auburn
156,305000.0,2,1.0,1960,186872,1.5,NONE,Good,6,1960,1936,1650,19200,Auburn
157,285000.0,3,2.5,1590,9736,2.0,NONE,Average,7,1590,1985,1580,7500,Auburn
158,239950.0,3,2.5,1560,4800,2.0,NONE,Good,7,1560,1974,1510,12240,Auburn
159,226500.0,3,2.0,1560,7000,1.0,NONE,Good,7,1560,1968,1560,7200,Auburn
160,370000.0,5,3.0,2670,9920,1.0,NONE,Average,8,1400,1990,1890,10341,Auburn
161,248000.0,4,3.0,2163,5883,2.0,NONE,Average,7,2163,2006,1700,10143,Auburn
162,340000.0,4,2.5,2550,7555,2.0,NONE,Average,8,2550,2001,2550,6800,Auburn
163,238000.0,3,1.5,1360,7488,1.0,NONE,Good,7,1050,1975,1580,7508,Auburn
164,250000.0,3,2.0,1660,13085,1.0,NONE,Average,7,1010,1985,1660,7778,Auburn
165,209000.0,3,1.75,1250,8084,1.0,NONE,Good,7,1250,1967,1340,7680,Auburn
166,411000.0,4,2.0,2370,76665,2.0,NONE,Good,8,2370,1978,2110,19334,Auburn
167,229500.0,3,1.5,1810,14400,1.0,NONE,Good,7,1810,1954,1710,12000,Auburn
168,310000.0,3,1.75,1880,30346,1.0,NONE,Average,8,1880,1988,2260,5883,Auburn
169,255000.0,3,1.0,1710,12000,1.0,NONE,Good,7,1710,1972,1310,9600,Auburn
170,280000.0,4,2.5,2400,4596,2.0,NONE,Average,8,2400,2004,2230,4763,Auburn
171,420000.0,5,2.25,3070,64033,1.0,NONE,Average,9,2730,1983,1560,28260,Auburn
172,256000.0,3,2.5,1570,5113,1.0,NONE,Average,7,1090,1996,1570,5150,Auburn
173,246900.0,3,1.5,1370,9800,1.0,NONE,Very Good,7,1370,1968,1370,9800,Auburn
174,199950.0,2,1.75,870,18537,1.0,NONE,Good,6,870,1946,1300,22800,Auburn
