,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,yr_built,zipcode,sqft_living15,sqft_lot15,city,bathrooms_per_bedroom
0,12.388394202324129,4,1.0,1220,8075,1.0,NONE,Fair,7,890,1969,98001,1290,7800,Auburn,0.25
1,12.567237494741757,4,2.5,2240,4648,2.0,NONE,Average,7,2240,2005,98001,2221,4557,Auburn,0.625
2,13.049792684569493,3,2.5,2714,17936,2.0,NONE,Average,9,2714,2005,98001,2590,18386,Auburn,0.8333333333333334
3,12.793859310432293,4,2.5,2160,9528,2.0,NONE,Average,9,2160,1992,98001,2280,9937,Auburn,0.625
4,12.345834587905333,3,2.0,1450,11204,1.0,NONE,Average,7,1450,2003,98001,1520,9518,Auburn,0.6666666666666666
5,12.437184366493561,4,1.5,1550,19800,1.0,NONE,Good,7,1050,1969,98001,1640,22654,Auburn,0.375
6,12.336881585641587,3,1.5,1670,8230,1.0,NONE,Very Good,7,1670,1954,98001,2077,4910,Auburn,0.5
7,12.185869938212655,3,2.25,2070,11576,2.0,NONE,Average,7,2070,1974,98001,1890,7519,Auburn,0.75
8,12.628067055589549,4,2.5,2250,9091,1.0,NONE,Average,7,1340,1982,98001,1540,7802,Auburn,0.625
9,12.400816722322686,3,1.75,1450,12125,1.0,NONE,Good,7,1450,1981,98001,1210,12125,Auburn,0.5833333333333334
10,12.358793732547838,3,2.0,1400,9177,1.0,NONE,Average,7,1400,1974,98001,2020,8547,Auburn,0.6666666666666666
11,12.428816116823043,3,1.75,1380,14000,1.0,NONE,Good,5,1380,1939,98001,1490,18503,Auburn,0.5833333333333334
12,12.230765258120545,3,2.0,1410,8384,1.0,NONE,Average,7,1410,1985,98001,1410,9205,Auburn,0.6666666666666666
13,12.188417710291453,3,1.0,1320,9000,1.0,NONE,Average,7,1320,1966,98001,1320,9800,Auburn,0.3333333333333333
14,12.205822614274965,2,2.75,1590,20917,1.5,NONE,Average,5,1590,1920,98001,1310,6000,Auburn,1.375
15,12.57418196709457,3,2.0,1850,9550,1.0,NONE,Average,8,1850,1988,98001,2250,9550,Auburn,0.6666666666666666
16,12.428816116823043,3,1.75,2080,12522,1.0,NONE,Very Good,6,2080,1950,98001,1690,11200,Auburn,0.5833333333333334
17,11.512925464970229,2,1.0,770,17334,1.0,NONE,Average,7,770,1978,98001,1480,17334,Auburn,0.5
18,12.676076274775909,3,2.5,2280,7417,2.0,NONE,Average,8,2280,1998,98001,2370,6443,Auburn,0.8333333333333334
19,12.495003937382387,3,2.5,2495,4400,2.0,NONE,Average,8,2495,2007,98001,2434,4400,Auburn,0.8333333333333334
20,12.765688433465597,2,1.5,1320,73600,1.0,NONE,Average,7,1320,1993,98001,1320,33600,Auburn,0.75
21,12.779873068457553,4,2.5,2770,7000,1.0,NONE,Good,7,1940,1979,98001,2140,7684,Auburn,0.625
22,12.429216196844383,4,2.25,1730,8400,1.0,NONE,Average,7,1730,1962,98001,1550,7920,Auburn,0.5625
23,12.779873068457553,4,3.0,2590,7213,2.0,NONE,Average,8,2590,2001,98001,2550,6800,Auburn,0.75
24,12.608198852372823,3,1.0,1510,142803,1.0,NONE,Average,7,1510,1974,98001,1330,46609,Auburn,0.3333333333333333
25,12.706847933442663,4,2.5,3504,6000,2.0,NONE,Average,7,3504,2006,98001,2790,5231,Auburn,0.625
26,12.18811232015318,3,2.0,1560,7352,1.0,NONE,Average,6,1560,1992,98001,1120,7950,Auburn,0.6666666666666666
27,12.969212197910155,4,2.5,2650,9301,2.0,NONE,Average,9,2650,2001,98001,2730,8688,Auburn,0.625
28,12.154516158615772,4,2.0,1910,4225,1.0,NONE,Good,6,910,1919,98001,1060,4800,Auburn,0.5
29,12.28071618852594,2,1.75,1220,15600,1.0,NONE,Average,6,1220,1972,98001,1510,17818,Auburn,0.875
30,12.235631447771718,4,2.0,1720,7560,1.0,NONE,Average,7,1720,1959,98001,1750,7988,Auburn,0.5
31,12.254862809699606,3,2.0,1440,10111,1.0,NONE,Average,7,1440,1963,98001,1580,10200,Auburn,0.6666666666666666
32,12.557433494645137,3,2.5,1570,9292,1.0,NONE,Average,7,1110,1977,98001,1470,9222,Auburn,0.8333333333333334
33,12.513557345278134,3,2.0,1380,7476,1.0,NONE,Average,7,1380,1989,98001,1600,7227,Auburn,0.6666666666666666
34,12.128111104060462,3,1.0,980,9135,1.0,NONE,Average,7,980,1955,98001,1780,9135,Auburn,0.3333333333333333
35,12.712890247898626,3,2.25,2120,14915,1.0,NONE,Average,9,1720,1979,98001,2320,13100,Auburn,0.75
36,12.380025952653611,2,1.0,1088,8453,1.0,NONE,Average,6,1088,1952,98001,1088,8016,Auburn,0.5
37,12.271626276269613,3,2.5,1580,8541,2.0,NONE,Average,7,1580,1990,98001,1640,7542,Auburn,0.8333333333333334
38,12.345834587905333,4,2.0,1440,10800,1.0,NONE,Good,7,1440,1967,98001,1190,7380,Auburn,0.5
39,12.476099782743233,4,2.5,2020,6236,2.0,NONE,Average,7,2020,2002,98001,1940,5076,Auburn,0.625
40,12.072541252905651,2,1.0,1300,44431,1.0,NONE,Very Good,6,1300,1958,98001,1470,14850,Auburn,0.5
41,12.367340793126296,4,1.0,1610,24000,1.5,NONE,Average,6,1610,1947,98001,1270,9600,Auburn,0.25
42,12.013700752882718,3,1.5,1280,7742,1.0,NONE,Average,7,1280,1973,98001,1566,7696,Auburn,0.5
43,12.528156144699286,3,2.5,2495,4400,2.0,NONE,Average,8,2495,2007,98001,2434,4400,Auburn,0.8333333333333334
44,12.487485104968359,3,2.25,1630,10969,2.0,NONE,Average,7,1630,1991,98001,1410,7920,Auburn,0.75
45,12.464583340681674,3,2.5,2153,4400,2.0,NONE,Average,8,2153,2007,98001,2434,4400,Auburn,0.8333333333333334
46,12.323855681186558,3,2.5,1740,10050,2.0,NONE,Average,7,1740,1989,98001,1300,10125,Auburn,0.8333333333333334
47,12.778322571283164,4,2.75,2140,9920,2.0,NONE,Average,8,2140,1993,98001,2130,9920,Auburn,0.6875
48,12.771386454580234,4,2.5,1252,25002,1.0,NONE,Average,8,992,1996,98001,1860,25002,Auburn,0.625
49,12.257240932104573,3,1.0,1220,9600,1.0,NONE,Very Good,7,1220,1958,98001,1310,9600,Auburn,0.3333333333333333
50,12.528156144699286,3,1.75,2240,9200,1.0,NONE,Good,7,1440,1968,98001,1740,9600,Auburn,0.5833333333333334
51,12.611371073081239,3,2.5,1870,7942,2.0,NONE,Average,7,1870,1990,98001,1870,7392,Auburn,0.8333333333333334
52,12.538967060803502,2,2.75,1770,10534,1.0,NONE,Average,8,1210,2003,98001,1600,17400,Auburn,1.375
53,12.705331632924699,3,2.5,2120,22482,1.0,NONE,Very Good,7,1360,1979,98001,2330,16016,Auburn,0.8333333333333334
54,12.185869938212655,3,1.5,1000,18568,1.0,NONE,Average,6,1000,1989,98001,1610,17420,Auburn,0.5
55,13.151922179645874,3,2.5,3430,48993,2.0,NONE,Average,9,3430,2001,98001,2460,36256,Auburn,0.8333333333333334
56,12.100712129872347,3,1.75,1330,16000,1.0,NONE,Average,7,1330,1978,98001,1330,14374,Auburn,0.5833333333333334
57,12.323855681186558,3,2.0,2030,24829,1.0,NONE,Good,7,1220,1979,98001,1980,15204,Auburn,0.6666666666666666
58,11.652687407345388,2,1.0,1000,16524,1.0,NONE,Average,5,1000,1913,98001,1350,10208,Auburn,0.5
59,12.180754837545884,3,1.0,1070,22489,1.0,NONE,Average,7,1070,1967,98001,1880,20250,Auburn,0.3333333333333333
60,12.611371073081239,3,2.5,1600,9830,2.0,NONE,Good,8,1600,1993,98001,1890,8910,Auburn,0.8333333333333334
61,12.608198852372823,3,1.75,2100,15480,1.0,NONE,Average,7,2100,1983,98001,1330,15657,Auburn,0.5833333333333334
62,12.214536723942302,3,1.0,1010,9576,1.0,NONE,Good,7,1010,1967,98001,1540,9576,Auburn,0.3333333333333333
63,12.179831334324946,3,1.5,1100,32700,1.0,NONE,Average,7,1100,1967,98001,1616,32700,Auburn,0.5
64,12.56706326353651,4,2.5,2080,9846,1.0,NONE,Average,7,1240,1984,98001,1890,7977,Auburn,0.625
65,12.429216196844383,5,1.75,2320,7700,1.0,NONE,Very Good,7,1290,1962,98001,1740,7210,Auburn,0.35
66,12.2783933071098,4,2.25,1500,5393,2.0,NONE,Average,7,1500,1999,98001,1500,5952,Auburn,0.5625
67,12.266697267346608,3,1.0,920,14400,1.0,NONE,Good,7,920,1977,98001,1170,9600,Auburn,0.3333333333333333
68,12.854353204750012,3,2.5,2220,20531,2.0,NONE,Average,8,2220,1998,98001,2420,19249,Auburn,0.8333333333333334
69,12.505992035646432,4,1.0,1440,9600,1.0,NONE,Fair,7,1440,1964,98001,1740,43560,Auburn,0.25
70,12.30591798049989,3,1.0,1250,7280,1.0,NONE,Average,7,1250,1965,98001,1450,7350,Auburn,0.3333333333333333
71,12.481429068291318,4,2.0,1360,60548,1.0,NONE,Average,6,960,1960,98001,1930,28800,Auburn,0.5
72,12.496874845318198,2,1.0,1747,12250,2.5,NONE,Good,6,1747,1948,98001,1620,10300,Auburn,0.5
73,12.319401330837177,3,1.5,1560,7300,1.0,NONE,Good,7,1040,1964,98001,1460,7910,Auburn,0.5
74,12.706847933442663,5,2.5,3597,4972,2.0,NONE,Average,7,3597,2006,98001,3193,6000,Auburn,0.5
75,12.791077667470416,4,2.25,2710,22860,1.0,NONE,Good,7,1850,1962,98001,1700,22860,Auburn,0.5625
76,12.274198474577775,2,2.5,1150,2064,2.0,NONE,Average,7,1150,2004,98001,1880,2855,Auburn,1.25
77,13.085699393032737,4,2.5,2846,85377,1.5,NONE,Average,8,1976,2000,98001,1696,57934,Auburn,0.625
